Index,Layout,Net Power (MW),Net Heat (MW)
0,G-1HTaHTa1T1TACHE,-7.677901482305936,7.6779014827183865
1,G-1aHTa1H1HACHE,-7.737409662326208,7.737409662536415
2,G1AT-1ACH1CHCaHTaE,-7.269813337329603,7.269813337652074
3,G1CaHT-1aA1ACTACHE,-7.636280218752818,7.636280218835573
4,G1T1ACTaHTa-1TACHE,-7.830728011659133,7.8307280202608105
5,G1Ta1HTaAC-1HATE,-7.490098386427714,7.490098386427416
6,GATHC1TaACaT-1H1E,-7.640556750737385,7.6405567219836215
7,GC1H1TaTACTa-1AE,-7.636834393935995,7.636834369264882
8,GC1aTHTaA-1C1THE,-7.608967081544178,7.608967081544492
9,GCTaATCaCHE,-7.29914545784591,7.299145454924769
10,GT-1CT1T1TaACaHE,-7.891041930866642,7.8910419456985785
11,GT-1H1aA1CaHE,-7.604351893735007,7.604351893733963
12,GT-1HTHT1Ta1ACaHE,-7.874524335637654,7.874524346146281
13,GT1A1ACAaHT-1aE,-8.840408331053373,8.840408332084985
14,GT1CaTHT-1aA1ACHE,-7.700856193133087,7.700856193135884
15,GT1HTA1aACHCaH-1E,-7.633800497513583,7.633800497529744
16,GTC-1AT1aHCTHTaA1E,-7.807966266500252,7.807966266567952
17,GTCaHACaHE,-7.386885412796791,7.386885412812791
18,GTCaTACAaCHE,-8.76184760153666,8.761847601662385
19,GTHTaCACaHE,-7.7517753034106285,7.751775305565893
20,GTHTaTACaTHE,-7.542387572509172,7.542387576156724
21,GTHaACHaHE,-7.620860511490797,7.620860511506095
22,GTHaCACHaTHE,-7.458963871197605,7.45896387138788
23,GTHaHATCHaHE,-7.181247405141396,7.181247405150923
24,GTa-1H1A1TaACHE,-7.659497808389122,7.659497801056716
25,GTaAC-1HTA1THTaH1E,-7.544461101367732,7.544461100384513
26,GTaACTHa-1H1H1E,-7.918521996070661,7.9185219881510704
27,GTaACaHCE,-7.712268623471703,7.712268623471953
28,GTaAT1T1ACaH-1E,-7.539235488688146,7.539235488739909
29,GTaATA1HT1CaH-1HE,-7.602665137545127,7.602665140934697
30,GTaCHTACaHE,-7.346339877544166,7.346339882408966
31,GTaHACaHE,-7.373331603283852,7.373331603283852
32,GTaTACHTaCHE,-7.70591291138292,7.705912911751284
33,GTaTACaCHE,-7.376554187445832,7.376554194306866
34,GTaTHACaHE,-7.397150150980948,7.3971501535166055
35,GTaTHTACaHE,-7.439359254589051,7.439359257739934
36,GaAC1TA1AC-1ACaHTE,-8.728868620866043,8.728868620865056
37,GaCHT1aAC-1A1CHE,-7.750895254155149,7.750895254166132
38,GaHTaAC1THC-1THTCH1E,-7.783405836948725,7.783405836959023
39,GaTH1aACTA-1CTCH1E,-9.354245943804571,9.354245944202713
40,G1AaCHTaTAC1T-1ACHE,-8.804779800131175,8.804779843369518
41,G1AaHTaACT-1TAC1HE,-8.473889467145636,8.473889467145646
42,G1HTaA-1C1CTaTHE,-7.702150545332874,7.702150545333215
43,G1aACTaCT-1AC1HTE,-7.540811832116651,7.54081183215089
44,GATCHaCHTaCHE,-7.673783568951416,7.67378363976643
45,GCTaACACHaHE,-7.732513067575831,7.732513062445204
46,GCTaACaHE,-7.5031167703689645,7.503116773815766
47,GCTaACaTHE,-7.685930570070781,7.685930572920029
48,GCTaTACaHE,-7.602160883653028,7.6021608751475185
49,GCaTACaHTE,-7.397441193900387,7.397441203866602
50,GT-1T1THACH1aACaHE,-7.545818635674194,7.545818635715076
51,GT1ACTaHTaAC-1H1E,-7.876336023500027,7.876336023487752
52,GT1C1aAT-1CaHE,-7.686807140412704,7.686807140466019
53,GT1TaACTaHTH-1H1E,-7.547678062972064,7.54767804973708
54,GTA1HTa1TACTHa-1E,-7.892264715288205,7.892264715812733
55,GTA1T1TaHATCaH-1E,-7.3963456145861635,7.396345614618276
56,GTACaCHTaE,-7.728361843900484,7.728361847271163
57,GTACaHCTaE,-7.816733208200816,7.816733212981017
58,GTACaTHTaAE,-7.391103425616709,7.391103425614883
59,GTATAC-1HaHTa1HAC1E,-7.619019037457082,7.619019037959511
60,GTATCaHTaE,-7.66989896545819,7.66989896835986
61,GTCTaACHaHE,-7.882148972379049,7.88214897665042
62,GTCTaACaHE,-7.88030962426425,7.8803096171246665
63,GTCaACACaHE,-7.765841761478054,7.765841761565362
64,GTCaACHaCHE,-7.814014209370652,7.814014209383725
65,GTHTaACTaHE,-7.846080716581641,7.846080716581792
66,GTHTaHACTCaHE,-7.361677433696589,7.361677433608325
67,GTHaACAaHE,-9.422422334466432,9.422422334830387
68,GTHaHTaACHE,-7.780655910399753,7.780655910400043
69,GTHaTAC-1a1TH1HE,-7.79552217904433,7.795522215683846
70,GTa-1A1H1TaACHE,-7.65225845938229,7.652258452039636
71,GTa-1HT1A1ACAaHE,-8.441517692633973,8.441517692643258
72,GTa1TACTa-1HCA1HCE,-7.698501518927985,7.698501528443387
73,GTaAC1T1CaH-1E,-7.833432500294773,7.833432500298699
74,GTaACACaHE,-7.826217639344664,7.8262176393438025
75,GTaACATaHE,-8.770104659158568,8.770104659158767
76,GTaACHCaHE,-7.8222070204597856,7.822207020459722
77,GTaACHTaHE,-7.790692040568583,7.790692040568729
78,GTaACHaHE,-7.822887732654094,7.822887732653776
79,GTaACHaTHE,-7.92861537451048,7.928615374510496
80,GTaACTCaCHE,-7.781278652339496,7.781278652339115
81,GTaACTCaHE,-7.709339893059033,7.709339893052263
82,GTaACTHCaHE,-7.762193444578474,7.7621934445785
83,GTaACTHaHE,-7.851918631644531,7.851918631644175
84,GTaACaCHE,-7.763183531276921,7.763183531277196
85,GTaACaHCHE,-7.766343914047107,7.766343914047091
86,GTaACaHE,-7.708305819806682,7.708305819806814
87,GTaACaHTCE,-7.929262642065935,7.929262654761001
88,GTaATCaHTHE,-7.889359146986143,7.889359146987076
89,GTaCHATCaHE,-7.302157474778054,7.302157477993607
90,GTaHACHaTHE,-7.687458122365118,7.68745812236493
91,GTaHACaHCHE,-7.412953801118734,7.412953801118491
92,GTaHTACTaHE,-7.463961777041053,7.463961777281494
93,GTaHTACaHE,-7.440386667151159,7.440386667399725
94,GTaHTHaACTCHE,-7.419942103693424,7.419942103713943
95,GTaHTaACHE,-7.79649111105558,7.796491111055758
96,GTaHTaCTACHE,-7.332839868854422,7.332839869247167
97,GTaTACAaCHE,-8.883590234475106,8.8835902345188
98,GTaTACAaHE,-8.836144029183439,8.836144029296268
99,GTaTACAaTHE,-8.31561910070917,8.315619097084712
100,GTaTACHaHE,-7.7252585544702,7.725258554686299
101,GTaTACHaTHE,-7.797545742272333,7.797545742488822
102,GTaTACaCTHE,-7.742053807942532,7.7420538122369
103,GTaTACaHE,-7.771726278816306,7.771726282255166
