Index,Layout,Position,Status,Unit Outputs,Net Power,Net Heating Duty
0,G-1HTaHTa1T1TACHE,"[0.99, 180.07855597034947, 29993480.884700928, 11.0, 454.34177036630086, 7842333.459872085, 11.0, 0.0, 9342066.54461549, 0.0, 7730297.115833871, 32.0, 30000000.0, 180.0, 77.92703057683224]",1,"{'A1': -24.6963065, 'C1': 3.0857565, 'H1': 0.00976494829, 'H2': 17.7199566, 'H3': 14.644502, 'T1': -0.00100838502, 'T2': -10.6765652, 'T3': -0.0432939163, 'T4': -0.0428059806, 'X1': 10.7473035}",-7.677916981920001,7.677917048290006
1,G-1aHTa1H1HACHE,"[0.99, 9.737199765017916, 458.01540248026305, 7832580.1846923325, 9.737199765017916, 0.0, 237.26878201035527, 0.0, 189.72211113152818, 32.008419719836155, 30000000.0, 180.0, 77.98770614345658]",1,"{'A1': -25.0641293, 'C1': 3.02497025, 'H1': 17.7068161, 'H2': 0.0670465216, 'H3': 0.00176005248, 'H4': 15.0260026, 'T1': -10.7624663, 'X1': 11.1492915}",-7.73749605,7.737495974080002
2,G1AT-1ACH1CHCaHTaE,"[0.01, 32.0, 9595252.798533048, 279.7364476761232, 0.0, 29739280.359661583, 180.35778262114593, 30000000.0, 11.0, 453.3527722376559, 8267468.293753175, 11.0, 0.0, 34.21964461915531, 7995853.87880178, 78.23669771189184]",1,"{'A1': -0.0129521702, 'A2': -24.6689899, 'C1': 0.00248606697, 'C2': 3.02196687, 'C3': 0.0584956457, 'H1': 0.331590271, 'H2': 14.3769401, 'H3': 17.2432968, 'T1': -0.0141833909, 'T2': -10.3386504, 'X1': 11.0954982}",-7.269885208230001,7.2698851008
3,G1CaHT-1aA1ACTACHE,"[0.99, 11.0, 32.0, 0.0, 32.0, 22329785.449965127, 22189115.111601513, 35.055688178485504, 22090018.17018651, 180.0, 0.0, 30000000.0, 11.0, 410.1311926367507, 7885641.82001236, 86.35868518992365]",1,"{'A1': -17.2000882, 'A2': -0.364780802, 'A3': -0.0547517529, 'C1': 0.0220211471, 'C2': 1.07899721e-06, 'C3': 3.3332419, 'H1': 0.257158165, 'H2': 24.9987895, 'T1': -10.9914508, 'T2': -0.00014028759, 'X1': 18.7360087}",-7.636326961492791,7.636326910100003
4,G1T1ACTaHTa-1TACHE,"[0.01, 7400000.0, 32.0, 30000000.0, 180.0, 0.0, 7825750.34705881, 0.0, 32.0, 30000000.0, 29995564.035628784, 4.0, 404.33181390133325, 7883224.751975574, 4.0, 89.95499714761202]",1,"{'A1': -0.0932159093, 'A2': -17.0357491, 'C1': 0.0553285458, 'C2': 3.44269516, 'H1': 0.0805420323, 'H2': 24.8791512, 'T1': -11.3224848, 'T2': -0.00217845563, 'T3': -0.00364301643, 'T4': -0.000445715032, 'X1': 20.2351259}",-7.830728281292002,7.830728222999998
5,G1Ta1HTaAC-1HATE,"[0.01, 180.0, 37.89423868954204, 24900981.312708173, 0.0, 24952464.358863313, 4.0, 0.0, 409.5935876241273, 7861029.983672575, 4.0, 32.0, 25007706.347375672, 91.71742443381999]",1,"{'A1': -0.260741196, 'A2': -16.3237543, 'C1': 2.79241792, 'H1': 0.198630919, 'H2': 23.8759667, 'T1': -6.04889101e-06, 'T2': -0.00576814997, 'T3': -10.2767459, 'X1': 23.9322829}",-7.49010217886101,7.490102122999996
6,GATHC1TaACaT-1H1E,"[0.99, 386.56638168342226, 0.0, 36.40568368177237, 28293693.720614463, 483.28514779973096, 28548138.618174322, 0.0, 7853941.678849345, 9.363386700555967, 32.0, 29173114.252814535, 9.363386700555967, 28561138.93841856, 92.86374631217264]",1,"{'A1': -0.263449942, 'A2': -18.1260262, 'C1': 3.45436293, 'C2': 0.00151369969, 'H1': 25.3964949, 'H2': 0.633550361, 'T1': -0.110341258, 'T2': -0.000144411319, 'T3': -10.9859601, 'X1': 19.0691993}",-7.640569139629001,7.640569119000002
7,GC1H1TaTACTa-1AE,"[0.01, 34.52758334358259, 30000000.0, 0.0, 415.3508461283941, 0.0, 7843901.888536725, 8.189171909881697, 7785829.095879354, 32.0, 30000000.0, 29963100.858405408, 8.189171909881697, 85.719415655786]",1,"{'A1': -0.264928899, 'A2': -16.7129449, 'C1': 3.31930849, 'C2': 0.000210033311, 'H1': 24.6147878, 'T1': -0.00355866033, 'T2': -10.9489134, 'T3': -0.00396039396, 'X1': 19.1053828}",-7.636913930979,7.636914000999997
8,GC1aTHTaA-1C1THE,"[0.99, 30000000.0, 0.0, 7400000.0, 180.0, 30000000.0, 0.0, 11.0, 29941317.873092055, 415.08396985672925, 7875785.713724179, 11.0, 32.0, 85.39928584953574]",1,"{'A1': -17.2598442, 'C1': 3.23562815, 'C2': 0.136737425, 'H1': 0.268863338, 'H2': 24.5999491, 'T1': -0.00039096545, 'T2': -0.00162047534, 'T3': -10.9793224, 'X1': 19.0229391}",-7.608968265789999,7.608968237999999
9,GCTaATCaCHE,"[26144528.698738072, 7842542.962502164, 11, 32.10604176553016, 7400000.0, 26192181.148076266, 11, 26143155.421942513, 389.1273205881532, 92.59747935524867]",0,0,0.0,0.0
10,GT-1CT1T1TaACaHE,"[0.01, 30000000.0, 19812828.514591616, 0.0, 18423754.703375556, 0.0, 7889162.223060581, 6.514454242685213, 32.0, 30000000.0, 6.514454242685213, 410.1601717932937, 18438949.332220294, 87.65526038227442]",1,"{'A1': -16.8906266, 'C1': 0.0655056702, 'C2': 3.3430553, 'H1': 24.7816265, 'T1': -4.48442038, 'T2': -0.0400342093, 'T3': -0.0071723526, 'T4': -6.767934, 'X1': 19.893228}",-7.890999971700001,7.890999900000001
11,GT-1H1aA1CaHE,"[0.01, 410.9114221418798, 0.0, 10.621007121917925, 32.0, 0.0, 30000000.0, 10.621007121917925, 408.85101571197015, 7883565.693802933, 86.58838445012032]",1,"{'A1': -17.4169836, 'C1': 3.39091253, 'H1': 0.135752318, 'H2': 24.8857413, 'T1': -10.9954225, 'X1': 18.4923032}",-7.6045099700000005,7.604510018000003
12,GT-1HTHT1Ta1ACaHE,"[0.01, 501.3076332302458, 20649277.43453028, 530.0, 7868785.689198736, 0.0, 7872005.642165558, 4.0, 0.0, 32.0, 30000000.0, 4.0, 407.4554978716568, 20679926.722056918, 87.74516498304693]",1,"{'A1': -16.9401769, 'C1': 3.36151096, 'H1': 0.144913654, 'H2': 0.0313410575, 'H3': 24.6384477, 'T1': -3.46269996, 'T2': -0.00016666109, 'T3': -0.10171809, 'T4': -7.67145168, 'X1': 19.6949399}",-7.8745254310899995,7.8745255115
13,GT1A1ACAaHT-1aE,"[0.99, 5.628317448535585, 8553459.187422838, 0.0, 32.0, 0.0, 32.0, 30000000.0, 32.0, 5.628317448535585, 398.3864325374696, 8650521.47946037, 107.49636517172094]",0,0,0.0,0.0
14,GT1CaTHT-1aA1ACHE,"[0.99, 4.0, 32.0, 0.0, 37.5454233619133, 15861268.273258109, 405.61257999938545, 7775908.872737845, 0.0, 30000000.0, 4.0, 29939831.584746152, 405.41532040624446, 7885812.810242442, 87.93627529523349]",1,"{'A1': -16.8075044, 'A2': -0.282325509, 'C1': 0.024449383, 'C2': 3.42800445, 'H1': 0.383414368, 'H2': 24.4074406, 'T1': -11.0880955, 'T2': -0.063438175, 'T3': -0.00194524326, 'X1': 19.3690771}",-7.7010250852599995,7.701025059000003
15,GT1HTA1aACHCaH-1E,"[0.99, 7818858.296505218, 0.0, 530.0, 17105841.29816841, 32.0, 0.0, 10.428374674829564, 32.0, 29999800.671440776, 180.0, 30000000.0, 10.428374674829564, 454.30925715638176, 77.07708177962922]",1,"{'A1': -0.516617079, 'A2': -24.7787154, 'C1': 3.00209378, 'C2': 4.41775377e-05, 'H1': 0.0737168775, 'H2': 14.7793706, 'H3': 18.0761573, 'T1': -10.5812813, 'T2': -0.0547690794, 'X1': 10.3701006}",-7.6339124218623,7.633912298500004
16,GTC-1AT1aHCTHTaA1E,"[0.01, 35.52833735086989, 8432213.984951196, 0.0, 7.017878244924723, 234.4973880032572, 30000000.0, 29977525.945556015, 403.6561310605604, 7880614.450885596, 7.017878244924723, 32.0, 0.0, 7400000.0, 30000000.0, 90.46794340525068]",0,0,0.0,0.0
17,GTCaHACaHE,"[7934873.161287876, 7934873.557950308, 11, 180, 32.06079881050861, 30000000.0, 11, 447.34001678843157, 75.47869728431309]",1,"{'A1': -23.7162019, 'C1': 4.92942095e-07, 'C2': 2.85644089, 'H1': 8.70493855, 'H2': 22.3981472, 'T1': -10.2433252, 'X1': 19.7339362}",-7.386883817057904,7.386883849999997
18,GTCaTACAaCHE,"[8205510.114740597, 8206091.068484368, 4, 8149801.051115306, 32, 30000000.0, 32, 4, 30000000.0, 393.0644547528954, 105.02738093405871]",0,0,0.0,0.0
19,GTHTaCACaHE,"[29833248.704628136, 419.5908049660538, 7400000.0, 10.28062670271836, 7767773.718511993, 32, 30000000.0, 10.28062670271836, 264.72660807195655, 84.09695686581277]",1,"{'A1': -17.263438, 'C1': 0.309615923, 'C2': 3.27683721, 'H1': 16.9381944, 'H2': 8.07716475, 'T1': -0.0267511574, 'T2': -11.3116232, 'X1': 18.4830255}",-7.751921224399999,7.751921150000001
20,GTHTaTACaTHE,"[27350287.67230028, 388.99622433486877, 7895788.052070561, 11, 7832628.600410384, 32.06523592576462, 28325183.770363472, 11, 28085837.039315555, 301.6061154201457, 91.95951578596625]",1,"{'A1': -17.9718012, 'C1': 3.28260297, 'H1': 10.5849099, 'H2': 14.929284, 'T1': -0.217729587, 'T2': -10.5624155, 'T3': -0.0068416577, 'T4': -0.0380089501, 'X1': 19.5163058}",-7.542392724800002,7.542392700000001
21,GTHaACHaHE,"[7880820.928692665, 309.34067283447865, 11, 32, 30000000.0, 180, 11, 448.10474258687907, 77.54807549386277]",1,"{'A1': -25.2345289, 'C1': 2.96389137, 'H1': 0.00273376765, 'H2': 15.1986649, 'H3': 17.6539909, 'T1': -10.5847521, 'X1': 10.3582042}",-7.6208607299999995,7.62086066765
22,GTHaCACHaTHE,"[7400000.0, 315.099245615807, 6.904065804521849, 7773557.072947454, 32, 30000000.0, 180, 6.904065804521849, 29815424.91240454, 460.4633051375706, 74.15290815761838]",1,"{'A1': -24.0973731, 'C1': 0.410682546, 'C2': 2.8833693, 'H1': 0.0012799497, 'H2': 14.247107, 'H3': 17.3080941, 'T1': -10.7248332, 'T2': -0.0283266499, 'X1': 10.6718669}",-7.459108003900001,7.459107949700005
23,GTHaHATCHaHE,"[7887319.283081406, 324.8568204492787, 11, 191.63251775971955, 32, 7400000.0, 30000000.0, 180, 11, 465.076481609619, 70.35725146765498]",0,0,0.0,0.0
24,GTa-1H1A1TaACHE,"[0.99, 458.4619889881414, 0.0, 38.0, 0.0, 7839258.531947763, 11.0, 32.0, 30000000.0, 180.0, 29999532.069683682, 11.0, 77.2051175341182]",1,"{'A1': -0.317426912, 'A2': -24.9649639, 'C1': 2.98630734, 'H1': 18.0161601, 'H2': 14.9257827, 'T1': -7.26376101e-05, 'T2': -10.6457867, 'X1': 10.7006118}",-7.6595519976101,7.6595519880000005
25,GTaAC-1HTA1THTaH1E,"[0.01, 186.31318523227446, 28844082.831590593, 32.0, 0.0, 29771725.268871024, 180.0, 27956216.38204018, 6.557313147932017, 460.1955563874521, 0.0, 7822257.795784469, 6.557313147932017, 32.0, 30000000.0, 77.43545306744976]",1,"{'A1': -0.225797166, 'A2': -24.1056978, 'C1': 3.01239229, 'H1': 0.156501642, 'H2': 14.7841087, 'H3': 16.9354537, 'T1': -0.00186369863, 'T2': -0.0197563002, 'T3': -0.285427621, 'T4': -10.2499138, 'X1': 12.2980007}",-7.544569129829999,7.544569076000002
26,GTaACTHa-1H1H1E,"[0.01, 458.94178096929545, 0.0, 453.55517614046994, 0.0, 7826951.897950931, 4.0, 32.0, 30000000.0, 29996713.541393816, 180.0, 4.0, 79.53180515866899]",1,"{'A1': -25.0263682, 'C1': 3.08886967, 'H1': 0.18177874, 'H2': 17.4602733, 'H3': 15.3029369, 'T1': -11.0071957, 'T2': -0.00029463673, 'X1': 11.6394507}",-7.918620666730002,7.9186207400000015
27,GTaACaHCE,"[7862767.518019713, 11, 32, 30000000.0, 11, 409.1440439788018, 30000000.0, 86.85868024657047]",1,"{'A1': -17.2968162, 'C1': 0.0234256369, 'C2': 3.33608546, 'H1': 25.0090884, 'T1': -11.0717833, 'X1': 19.0131803}",-7.7122722030999995,7.712272200000001
28,GTaAT1T1ACaH-1E,"[0.99, 7993407.524880988, 11.0, 38.0, 7842910.296532456, 0.0, 23527615.98477062, 0.0, 32.0, 30000000.0, 11.0, 412.91250542384836, 85.93012383917139]",1,"{'A1': -8.79978614, 'A2': -8.51470256, 'C1': 3.27416579, 'H1': 24.8536963, 'T1': -10.7905287, 'T2': -0.000126543804, 'T3': -0.0227181708, 'X1': 19.2593084}",-7.539207624604,7.539207600000001
29,GTaATA1HT1CaH-1HE,"[0.99, 415.0445423732383, 8103286.552499899, 6.076466008520531, 38.0, 7950059.312456762, 32.236444338899055, 0.0, 248.31934600102457, 29507074.96188366, 0.0, 30000000.0, 6.076466008520531, 247.98019762999678, 87.56577774022932]",1,"{'A1': -8.83018099, 'A2': -7.89511538, 'C1': 3.34185838, 'H1': 18.9238976, 'H2': 0.000413479772, 'H3': 5.40364731, 'T1': -10.9427137, 'T2': -0.000797247147, 'T3': -0.00100946196, 'X1': 20.501395}",-7.602662029107002,7.602662019771998
30,GTaCHTACaHE,"[8041043.886003218, 6.690763508795293, 7992048.099974463, 180, 7845191.3659830615, 32, 30000000.0, 6.690763508795293, 443.878500175138, 75.834043042367]",1,"{'A1': -23.6314749, 'C1': 0.000590622197, 'C2': 2.88783876, 'H1': 9.19754578, 'H2': 21.7802505, 'T1': -10.1412211, 'T2': -0.0935297084, 'X1': 20.1308069}",-7.346321426203,7.346321379999999
31,GTaHACaHE,"[7820512.485004258, 11, 180, 32, 30000000.0, 11, 446.2382671851249, 75.39910616113166]",1,"{'A1': -23.3512743, 'C1': 2.93500494, 'H1': 8.34305176, 'H2': 22.3816614, 'T1': -10.3084438, 'X1': 19.1442994}",-7.373438859999999,7.37343886
32,GTaTACHTaCHE,"[8006172.439877572, 10.238077406304873, 7908786.0534619605, 32, 30000000.0, 180, 24854076.502775203, 10.238077406304873, 24810038.114893597, 452.35002264964186, 83.34055890156206]",1,"{'A1': -25.7345991, 'C1': 3.12913776, 'C2': 0.00250277602, 'H1': 16.6507552, 'H2': 16.7897918, 'T1': -9.9034761, 'T2': -0.0326311368, 'T3': -0.901481199, 'X1': 15.0371865}",-7.705947899780001,7.705947899999995
33,GTaTACaCHE,"[8126295.210143896, 11, 7983835.772231686, 32.403221003507085, 25371751.695722215, 11, 25322034.77373654, 390.8875213764547, 95.90309673441094]",1,"{'A1': -17.911278, 'C1': 2.9072316, 'C2': 9.68114172e-05, 'H1': 25.2878318, 'T1': -10.2373977, 'T2': -0.0464844608, 'X1': 22.5917027}",-7.376553749382801,7.3765538
34,GTaTHACaHE,"[7827229.529690457, 7.967384456743818, 7771207.139744095, 180, 32, 30000000.0, 7.967384456743818, 452.7305425423016, 74.48278540362696]",1,"{'A1': -23.0707968, 'C1': 2.8986135, 'H1': 8.5674632, 'H2': 21.9005937, 'T1': -10.293291, 'T2': -0.00258253679, 'X1': 19.7360184}",-7.39726003679,7.3972601000000004
