Index,Layout,Position,Status
0,G-1HTaHTa1T1TACHE,"[0.99, 180.07855597034947, 29993480.884700928, 11.0, 454.34177036630086, 7842333.459872085, 11.0, 0.0, 9342066.54461549, 0.0, 7730297.115833871, 32.0, 30000000.0, 180.0, 77.92703057683224]",-1
1,G-1aHTa1H1HACHE,"[0.99, 9.737199765017916, 458.01540248026305, 7832580.1846923325, 9.737199765017916, 0.0, 237.26878201035527, 0.0, 189.72211113152818, 32.008419719836155, 30000000.0, 180.0, 77.98770614345658]",-1
2,G1AT-1ACH1CHCaHTaE,"[0.01, 32.0, 9595252.798533048, 279.7364476761232, 0.0, 29739280.359661583, 180.35778262114593, 30000000.0, 11.0, 453.3527722376559, 8267468.293753175, 11.0, 0.0, 34.21964461915531, 7995853.87880178, 78.23669771189184]",-1
3,G1CaHT-1aA1ACTACHE,"[0.99, 11.0, 32.0, 0.0, 32.0, 22329785.449965127, 22189115.111601513, 35.055688178485504, 22090018.17018651, 180.0, 0.0, 30000000.0, 11.0, 410.1311926367507, 7885641.82001236, 86.35868518992365]",-1
4,G1T1ACTaHTa-1TACHE,"[0.01, 7400000.0, 32.0, 30000000.0, 180.0, 0.0, 7825750.34705881, 0.0, 32.0, 30000000.0, 29995564.035628784, 4.0, 404.33181390133325, 7883224.751975574, 4.0, 89.95499714761202]",-1
5,G1Ta1HTaAC-1HATE,"[0.01, 180.0, 37.89423868954204, 24900981.312708173, 0.0, 24952464.358863313, 4.0, 0.0, 409.5935876241273, 7861029.983672575, 4.0, 32.0, 25007706.347375672, 91.71742443381999]",-1
6,GATHC1TaACaT-1H1E,"[0.99, 386.56638168342226, 0.0, 36.40568368177237, 28293693.720614463, 483.28514779973096, 28548138.618174322, 0.0, 7853941.678849345, 9.363386700555967, 32.0, 29173114.252814535, 9.363386700555967, 28561138.93841856, 92.86374631217264]",-1
7,GC1H1TaTACTa-1AE,"[0.01, 34.52758334358259, 30000000.0, 0.0, 415.3508461283941, 0.0, 7843901.888536725, 8.189171909881697, 7785829.095879354, 32.0, 30000000.0, 29963100.858405408, 8.189171909881697, 85.719415655786]",-1
8,GC1aTHTaA-1C1THE,"[0.99, 30000000.0, 0.0, 7400000.0, 180.0, 30000000.0, 0.0, 11.0, 29941317.873092055, 415.08396985672925, 7875785.713724179, 11.0, 32.0, 85.39928584953574]",-1
9,GCTaATCaCHE,"[26144528.698738072, 7842542.962502164, 11, 32.10604176553016, 7400000.0, 26192181.148076266, 11, 26143155.421942513, 389.1273205881532, 92.59747935524867]",0
10,GT-1CT1T1TaACaHE,"[0.01, 30000000.0, 19812828.514591616, 0.0, 18423754.703375556, 0.0, 7889162.223060581, 6.514454242685213, 32.0, 30000000.0, 6.514454242685213, 410.1601717932937, 18438949.332220294, 87.65526038227442]",-1
11,GT-1H1aA1CaHE,"[0.01, 410.9114221418798, 0.0, 10.621007121917925, 32.0, 0.0, 30000000.0, 10.621007121917925, 408.85101571197015, 7883565.693802933, 86.58838445012032]",-1
12,GT-1HTHT1Ta1ACaHE,"[0.01, 501.3076332302458, 20649277.43453028, 530.0, 7868785.689198736, 0.0, 7872005.642165558, 4.0, 0.0, 32.0, 30000000.0, 4.0, 407.4554978716568, 20679926.722056918, 87.74516498304693]",-1
13,GT1A1ACAaHT-1aE,"[0.99, 5.628317448535585, 8553459.187422838, 0.0, 32.0, 0.0, 32.0, 30000000.0, 32.0, 5.628317448535585, 398.3864325374696, 8650521.47946037, 107.49636517172094]",-1
14,GT1CaTHT-1aA1ACHE,"[0.99, 4.0, 32.0, 0.0, 37.5454233619133, 15861268.273258109, 405.61257999938545, 7775908.872737845, 0.0, 30000000.0, 4.0, 29939831.584746152, 405.41532040624446, 7885812.810242442, 87.93627529523349]",-1
15,GT1HTA1aACHCaH-1E,"[0.99, 7818858.296505218, 0.0, 530.0, 17105841.29816841, 32.0, 0.0, 10.428374674829564, 32.0, 29999800.671440776, 180.0, 30000000.0, 10.428374674829564, 454.30925715638176, 77.07708177962922]",-1
16,GTC-1AT1aHCTHTaA1E,"[0.01, 35.52833735086989, 8432213.984951196, 0.0, 7.017878244924723, 234.4973880032572, 30000000.0, 29977525.945556015, 403.6561310605604, 7880614.450885596, 7.017878244924723, 32.0, 0.0, 7400000.0, 30000000.0, 90.46794340525068]",-1
17,GTCaHACaHE,"[7934873.161287876, 7934873.557950308, 11, 180, 32.06079881050861, 30000000.0, 11, 447.34001678843157, 75.47869728431309]",1
18,GTCaTACAaCHE,"[8205510.114740597, 8206091.068484368, 4, 8149801.051115306, 32, 30000000.0, 32, 4, 30000000.0, 393.0644547528954, 105.02738093405871]",0
19,GTHTaCACaHE,"[29833248.704628136, 419.5908049660538, 7400000.0, 10.28062670271836, 7767773.718511993, 32, 30000000.0, 10.28062670271836, 264.72660807195655, 84.09695686581277]",1
20,GTHTaTACaTHE,"[27350287.67230028, 388.99622433486877, 7895788.052070561, 11, 7832628.600410384, 32.06523592576462, 28325183.770363472, 11, 28085837.039315555, 301.6061154201457, 91.95951578596625]",1
21,GTHaACHaHE,"[7880820.928692665, 309.34067283447865, 11, 32, 30000000.0, 180, 11, 448.10474258687907, 77.54807549386277]",1
22,GTHaCACHaTHE,"[7400000.0, 315.099245615807, 6.904065804521849, 7773557.072947454, 32, 30000000.0, 180, 6.904065804521849, 29815424.91240454, 460.4633051375706, 74.15290815761838]",1
23,GTHaHATCHaHE,"[7887319.283081406, 324.8568204492787, 11, 191.63251775971955, 32, 7400000.0, 30000000.0, 180, 11, 465.076481609619, 70.35725146765498]",0
24,GTa-1H1A1TaACHE,"[0.99, 458.4619889881414, 0.0, 38.0, 0.0, 7839258.531947763, 11.0, 32.0, 30000000.0, 180.0, 29999532.069683682, 11.0, 77.2051175341182]",-1
25,GTaAC-1HTA1THTaH1E,"[0.01, 186.31318523227446, 28844082.831590593, 32.0, 0.0, 29771725.268871024, 180.0, 27956216.38204018, 6.557313147932017, 460.1955563874521, 0.0, 7822257.795784469, 6.557313147932017, 32.0, 30000000.0, 77.43545306744976]",-1
26,GTaACTHa-1H1H1E,"[0.01, 458.94178096929545, 0.0, 453.55517614046994, 0.0, 7826951.897950931, 4.0, 32.0, 30000000.0, 29996713.541393816, 180.0, 4.0, 79.53180515866899]",-1
27,GTaACaHCE,"[7862767.518019713, 11, 32, 30000000.0, 11, 409.1440439788018, 30000000.0, 86.85868024657047]",1
28,GTaAT1T1ACaH-1E,"[0.99, 7993407.524880988, 11.0, 38.0, 7842910.296532456, 0.0, 23527615.98477062, 0.0, 32.0, 30000000.0, 11.0, 412.91250542384836, 85.93012383917139]",-1
29,GTaATA1HT1CaH-1HE,"[0.99, 415.0445423732383, 8103286.552499899, 6.076466008520531, 38.0, 7950059.312456762, 32.236444338899055, 0.0, 248.31934600102457, 29507074.96188366, 0.0, 30000000.0, 6.076466008520531, 247.98019762999678, 87.56577774022932]",-1
30,GTaCHTACaHE,"[8041043.886003218, 6.690763508795293, 7992048.099974463, 180, 7845191.3659830615, 32, 30000000.0, 6.690763508795293, 443.878500175138, 75.834043042367]",1
31,GTaHACaHE,"[7820512.485004258, 11, 180, 32, 30000000.0, 11, 446.2382671851249, 75.39910616113166]",1
32,GTaTACHTaCHE,"[8006172.439877572, 10.238077406304873, 7908786.0534619605, 32, 30000000.0, 180, 24854076.502775203, 10.238077406304873, 24810038.114893597, 452.35002264964186, 83.34055890156206]",1
33,GTaTACaCHE,"[8126295.210143896, 11, 7983835.772231686, 32.403221003507085, 25371751.695722215, 11, 25322034.77373654, 390.8875213764547, 95.90309673441094]",1
34,GTaTHACaHE,"[7827229.529690457, 7.967384456743818, 7771207.139744095, 180, 32, 30000000.0, 7.967384456743818, 452.7305425423016, 74.48278540362696]",1
35,GTaTHTACaHE,"[7874805.74850734, 7.87478860308534, 7802246.72961064, 180, 7790484.160413697, 32, 30000000.0, 7.87478860308534, 441.5405633490877, 77.04875332926062]",1
36,GaAC1TA1AC-1ACaHTE,"[0.99, 32.0, 30000000.0, 6.4132628784112615, 402.5885992113371, 8791251.856566109, 6.4132628784112615, 32.0, 8739806.208472908, 0.0, 15818925.157576824, 35.38615771653601, 0.0, 32.0, 30000000.0, 107.24960373943502]",-1
37,GaCHT1aAC-1A1CHE,"[0.01, 32.0, 0.0, 30000000.0, 180.0, 11.0, 30000000.0, 459.845527685864, 7853570.5911519425, 0.0, 11.0, 32.0, 29999998.360856947, 77.79250500777232]",-1
38,GaHTaAC1THC-1THTCH1E,"[0.01, 16480212.40548665, 197.29990156996607, 8050154.221005286, 30000000.0, 308.6576877857917, 0.0, 8.285878607025996, 459.39998335517316, 7797826.310135559, 8.285878607025996, 32.0, 30000000.0, 0.0, 29999992.127630252, 180.0, 30000000.0, 78.37370421124106]",-1
39,GaTH1aACTA-1CTCH1E,"[0.01, 30000000.0, 22554048.409079522, 22681141.718210664, 191.78150185873866, 0.0, 5.736814183909052, 8989574.476745326, 390.2696296302594, 0.0, 5.736814183909052, 32.0, 30000000.0, 29981052.21709051, 32.0, 131.67355216762624]",-1
40,G1AaCHTaTAC1T-1ACHE,"[0.01, 38.0, 30000000.0, 180.0, 0.0, 32.0, 4.0, 30000000.0, 416.57307229747494, 8305564.451615495, 4.0, 8216374.377125847, 32.0, 30000000.0, 0.0, 29999030.02649832, 100.65274961794856]",-1
41,G1AaHTaACT-1TAC1HE,"[0.99, 28143828.589911707, 32.0, 28044091.81830957, 0.0, 530.0, 0.0, 34.567343096183535, 4.7148014064853845, 368.9268881756842, 8901729.561688649, 4.7148014064853845, 32.0, 28256584.49834017, 28185970.87081966, 118.37821940560781]",-1
42,G1HTaA-1C1CTaTHE,"[0.01, 30000000.0, 0.0, 27855399.973574802, 27834402.762625616, 11.0, 27776084.783406433, 242.94837187781292, 0.0, 401.4057064911014, 7860954.971434612, 11.0, 32.0, 91.36394726062801]",-1
43,G1aACTaCT-1AC1HTE,"[0.01, 33.85995577048924, 30000000.0, 0.0, 415.7230631235114, 7895468.100494915, 0.0, 11.0, 32.0, 30000000.0, 29999608.964865573, 11.0, 30000000.0, 29993279.014054675, 84.5845923609104]",-1
44,GATCHaCHTaCHE,"[32, 7400000.0, 30000000.0, 180, 11, 30000000.0, 463.89774974597833, 7400000.0, 11, 7707639.519060983, 196.47153675042313, 76.12610241746965]",0
45,GCTaACACHaHE,"[30000000.0, 7810968.04227508, 11, 32, 9314262.08820896, 37.554755830262884, 30000000.0, 180, 11, 466.8957494730929, 75.53074835938136]",1
46,GCTaACaHE,"[24679670.04344981, 7808501.701753446, 7.869026118231581, 32, 24728486.242955904, 7.869026118231581, 410.53254426658395, 92.09265940676539]",1
47,GCTaACaTHE,"[24863756.614094727, 7860301.824856348, 8.551031142135175, 32, 25145917.70669245, 8.551031142135175, 24857551.081319038, 385.5383156042464, 100.1472811149913]",1
48,GCTaTACaHE,"[27216663.160625678, 7866584.1246410655, 11, 7785417.009132705, 32, 27265320.061200004, 11, 387.87106512236073, 94.65427515408506]",1
49,GCaTACaHTE,"[9629045.742684726, 8.720608218074648, 7889405.68467369, 32, 30000000.0, 8.720608218074648, 418.6975765441935, 9628538.25988259, 89.77385536973357]",1
50,GT-1T1THACH1aACaHE,"[0.99, 7868700.051797455, 0.0, 7400000.0, 530.0, 38.0, 8094300.593810596, 410.07234606159466, 0.0, 9.050009023956424, 32.0, 30000000.0, 9.050009023956424, 407.11745339223734, 29945643.948848926, 85.3816517174923]",-1
51,GT1ACTaHTaAC-1H1E,"[0.01, 180.0, 0.0, 19708378.19003508, 0.0, 37.27974809472276, 30000000.0, 29971443.36770351, 6.423583930295679, 409.9753929258505, 7926516.923971056, 6.423583930295679, 32.0, 19718272.088513326, 86.62789589253128]",-1
52,GT1C1aAT-1CaHE,"[0.99, 30000000.0, 8.340253018480158, 399.3742141523293, 7910527.023703374, 0.0, 9367467.258004552, 0.0, 8.340253018480158, 32.0, 7750145.488212961, 89.86083569270708]",-1
53,GT1TaACTaHTH-1H1E,"[0.33608953394068736, 378.9912930543247, 0.0, 26001437.237087395, 0.0, 7859741.401118938, 10.919360966917397, 32.0, 27669400.66452717, 27246945.110379938, 10.919360966917397, 268.95875463801013, 26018089.936182607, 365.652567919921, 98.81172109027949]",-1
54,GTA1HTa1TACTHa-1E,"[0.01, 19300954.18999687, 38.0, 0.0, 457.19140498932876, 7844273.091550476, 4.0, 0.0, 7793677.940806229, 32.0, 30000000.0, 29995531.61685416, 180.0, 4.0, 79.40205083884227]",-1
55,GTA1T1TaHATCaH-1E,"[0.01, 7960492.078950494, 32.0, 0.0, 7817715.993876348, 0.0, 7814113.398143131, 4.0, 180.0, 32.0, 7400000.0, 30000000.0, 4.0, 446.37705035420333, 75.77371412369654]",-1
56,GTACaCHTaE,"[7803163.844693839, 32, 30000000.0, 7.707812917723581, 30000000.0, 403.84683814676987, 7855180.767335949, 7.707812917723581, 88.29939152132738]",0
57,GTACaHCTaE,"[7862047.931172929, 32, 30000000.0, 4, 408.213415263708, 30000000.0, 7914513.966232083, 4, 88.3004987649007]",1
58,GTACaTHTaAE,"[8346253.6649218425, 34.286203818337846, 30000000.0, 5.351281596806985, 29869116.75159816, 422.78046765535316, 8504393.80572262, 5.351281596806985, 36.13176703571152, 85.93710847013855]",0
59,GTATAC-1HaHTa1HAC1E,"[0.99, 180.0, 11.0, 456.03354379843006, 7942609.147600494, 11.0, 0.0, 254.76992153511472, 35.081283276252904, 30000000.0, 0.0, 7889136.379647994, 38.0, 7773811.572712629, 32.0, 30000000.0, 78.14346206858839]",-1
60,GTATCaHTaE,"[7806190.75095432, 32, 7400000.0, 30000000.0, 11, 411.79434294643886, 7858498.834187814, 11, 85.89329488795127]",0
61,GTCTaACHaHE,"[18183602.616056066, 18185199.538298037, 7946089.650310693, 7.571453922459609, 32.46356262216355, 30000000.0, 180, 7.571453922459609, 450.57899449915874, 79.63343487651285]",1
62,GTCTaACaHE,"[25299757.56368484, 25300300.167441484, 7979902.174449623, 7.890047870283146, 32, 30000000.0, 7.890047870283146, 378.24103613853845, 96.55309385067558]",1
63,GTCaACACaHE,"[8271107.766379185, 8271749.3680864945, 5.315227158466571, 33.77280013379196, 8508332.479655879, 34.296161112587626, 29834465.97113248, 5.315227158466571, 392.1709492248209, 95.50110208470838]",1
64,GTCaACHaCHE,"[7961264.178123235, 7961291.319830275, 4, 32, 30000000.0, 181.8374589249241, 4, 30000000.0, 456.9739718827612, 78.05251056561661]",0
65,GTHTaACTaHE,"[29946334.757301334, 401.19588241153144, 7887730.339551194, 8.308027926172848, 32, 30000000.0, 29999568.600741204, 8.308027926172848, 298.35276898230205, 90.2766569434063]",1
66,GTHTaHACTCaHE,"[29861539.74151944, 446.48484912441563, 7841736.615104462, 11, 180, 32, 7692124.151809272, 7400000.0, 30000000.0, 11, 405.0634754342361, 75.2995355549787]",0
67,GTHaACAaHE,"[8812932.73620611, 347.9360477123273, 4.99061118368737, 32, 30000000.0, 32, 4.99061118368737, 360.07065633026855, 130.00689985970854]",0
68,GTHaHTaACHE,"[29999174.13033267, 180.00530688092394, 11, 457.4827067188674, 7849712.7898649825, 11, 32, 30000000.0, 180, 77.40520638078517]",0
69,GTHaTAC-1a1TH1HE,"[0.6174876984215668, 7.410787331137124, 0.0, 28105802.045113064, 199.86951107591918, 0.0, 342.32490544616775, 8870455.448967589, 230.0660551465826, 7.410787331137124, 8700486.823919656, 34.60937594959769, 28136626.851177353, 120.36033626053724]",-1
70,GTa-1A1H1TaACHE,"[0.01, 38.0, 0.0, 458.3990806579184, 0.0, 7830283.943560594, 11.0, 32.0, 30000000.0, 180.0, 29999932.822018575, 11.0, 77.15347653272684]",-1
71,GTa-1HT1A1ACAaHE,"[0.01, 197.75259195444045, 9039895.40554341, 0.0, 32.30641465749649, 0.0, 32.0, 30000000.0, 32.13805055881166, 8.282180973207376, 401.50572159480515, 9128941.009944156, 8.282180973207376, 105.80176262493956]",-1
72,GTa1TACTa-1HCA1HCE,"[0.01, 198.53119213923338, 30000000.0, 32.0, 0.0, 409.07382835566483, 30000000.0, 7980234.581198521, 9.76013645944299, 0.0, 7920174.414971922, 32.0, 30000000.0, 29994886.77302965, 9.76013645944299, 88.1937692894956]",-1
73,GTaAC1T1CaH-1E,"[0.99, 7874382.53623901, 6.5256086725951725, 32.0, 7725051.080784726, 0.0, 8207925.758621115, 0.0, 30000000.0, 6.5256086725951725, 404.02196215864154, 90.16877301102171]",-1
74,GTaACACaHE,"[7848174.9175405, 4, 32, 9551715.303859558, 38, 30000000.0, 4, 410.5067886036244, 88.05768072495907]",1
75,GTaACATaHE,"[8746753.676752683, 6.346840264674523, 32, 30000000.0, 32, 29860041.8759843, 6.346840264674523, 398.3821539979233, 107.38593922073831]",0
76,GTaACHCaHE,"[7827494.534200633, 7.714428075521491, 32, 29999964.92903478, 180, 30000000.0, 7.714428075521491, 451.3501254230191, 78.9867004997922]",1
77,GTaACHTaHE,"[7823887.353140068, 11, 32, 30000000.0, 180, 29999819.886387553, 11, 456.80441788177245, 77.65417417057586]",1
78,GTaACHaHE,"[7816207.061903951, 11, 32, 30000000.0, 180, 11, 455.4660752954242, 78.24008064469905]",1
79,GTaACHaTHE,"[7832087.069227232, 4, 32, 30000000.0, 180, 4, 29949063.069555007, 454.57091304134224, 79.43763190204159]",1
80,GTaACTCaCHE,"[7860691.300766492, 8.393179152569058, 32, 30000000.0, 29999999.588887054, 30000000.0, 8.393179152569058, 30000000.0, 402.170836975844, 89.30778725776871]",0
81,GTaACTCaHE,"[7873208.241518278, 11, 32, 20095031.18349306, 20093643.439821042, 30000000.0, 11, 412.12304945393623, 86.24020138371715]",1
82,GTaACTHCaHE,"[7837185.189887327, 10.695224214734859, 32, 30000000.0, 29999803.88394882, 180, 30000000.0, 10.695224214734859, 454.02797991062, 77.86563168541986]",1
83,GTaACTHaHE,"[7813660.785712805, 7.653722484270772, 32, 30000000.0, 29997779.871055797, 180, 7.653722484270772, 454.7627493836057, 78.67235784035167]",1
84,GTaACaCHE,"[7946904.846316639, 6.4036735398848, 32.01037848323278, 27895475.60169985, 6.4036735398848, 27845781.32472, 374.5668885599529, 99.49279473004414]",1
85,GTaACaHCHE,"[7861962.402662828, 11, 32, 30000000.0, 11, 245.39453196623415, 30000000.0, 409.68532641241075, 87.31393450178935]",1
86,GTaACaHE,"[7864692.718468862, 11, 32, 30000000.0, 11, 408.8063609529261, 86.82335874402253]",1
87,GTaACaHTCE,"[7885896.261834485, 5.644773583470206, 32, 30000000.0, 5.644773583470206, 410.4029819809739, 20315466.627474792, 20315567.151365034, 87.89420090385153]",1
88,GTaATCaHTHE,"[7900747.45610255, 4, 32, 7741717.329536521, 30000000.0, 4, 257.11043245539963, 29945893.996315666, 414.6403079073743, 87.48005452644502]",1
89,GTaCHATCaHE,"[7884780.450802617, 6.804951362374465, 7836160.825592788, 180, 32, 7400000.0, 30000000.0, 6.804951362374465, 453.20913484372016, 73.5612574365177]",0
90,GTaHACHaTHE,"[7830490.111537385, 11, 191.0564132815692, 32, 29122080.425580375, 180, 11, 29071284.476682056, 460.4833034628675, 76.95942236592997]",1
91,GTaHACaHCHE,"[7821305.740432403, 11, 180, 32, 30000000.0, 11, 280.86080588632217, 30000000.0, 447.71366213883283, 75.57252402334552]",1
92,GTaHTACTaHE,"[7831034.92670068, 6.152452705735491, 180, 7735876.194507332, 32, 30000000.0, 29966048.40366872, 6.152452705735491, 449.6922362239064, 75.9574955002047]",1
93,GTaHTACaHE,"[7808140.101638581, 4, 180, 7757804.85179888, 32, 30000000.0, 4, 440.5575128977421, 77.19994974831135]",1
94,GTaHTHaACTCHE,"[29922588.453339465, 8.187114602743744, 445.11003103147937, 8126377.783282355, 310.5898540684604, 8.187114602743744, 32, 30000000.0, 29860922.60463482, 30000000.0, 180, 76.9241809389213]",0
95,GTaHTaACHE,"[29999850.665510487, 11, 456.7687439841885, 7826974.421676904, 11, 32, 30000000.0, 180, 77.7133274486007]",0
96,GTaHTaCTACHE,"[29872153.53589527, 11, 475.4694890465255, 8493829.901762797, 11, 8445522.835136257, 8100195.590483521, 33.019761668184586, 30000000.0, 207.19598140177135, 72.47543395766562]",0
97,GTaTACAaCHE,"[8749899.386874437, 6.10688015657784, 8697209.258706467, 32, 30000000.0, 32, 6.10688015657784, 30000000.0, 398.0431009028447, 109.008442026051]",0
98,GTaTACAaHE,"[8866911.25132475, 6.79677698868162, 8816740.434818175, 32, 30000000.0, 32, 6.79677698868162, 393.66384305419774, 110.54593934965575]",0
99,GTaTACAaTHE,"[9580104.24886885, 5.425109649844386, 9529927.985463914, 32, 30000000.0, 38, 5.425109649844386, 29790721.512596637, 401.38919106575344, 107.72895261672768]",0
